"Player","Team","POS","RUSHATT","RUSHYDS","RUSHTDS","REC","RECYDS","RECTDS","FL","FPTS"
"Kenneth Walker III","SEA","RB17","237.7","994.9","8.9","29.1","225.2","1.0","0.9","209.1"
"Mark Andrews","BAL","TE3","0.0","0.0","0.0","72.7","880.1","7.9","0.5","207.3"
"Aaron Jones","MIN","RB18","189.9","872.2","5.5","43.4","320.3","2.0","1.0","205.2"
"Trey McBride","ARI","TE4","0.0","0.0","0.0","86.0","883.2","5.1","0.5","203.5"
"Keenan Allen","CHI","WR32","1.0","6.1","0.0","80.6","900.3","5.6","1.0","202.9"
"Calvin Ridley","TEN","WR33","2.9","14.6","0.0","68.1","930.4","6.8","0.5","202.2"
"DeAndre Hopkins","TEN","WR34","0.3","3.0","0.0","70.5","938.6","6.0","0.6","199.7"
"Terry McLaurin","WAS","WR35","0.3","2.2","0.0","73.8","983.6","4.6","0.5","199.0"
"Rhamondre Stevenson","NE","RB19","215.0","890.3","5.8","42.3","290.5","0.9","1.0","198.1"
"Jayden Reed","GB","WR36","9.0","73.6","1.2","65.9","820.1","6.0","0.6","196.7"
"Dalton Kincaid","BUF","TE5","0.0","0.0","0.0","82.4","822.8","5.4","0.8","195.4"
"Hollywood Brown","KC","WR37","1.5","11.6","0.0","66.1","866.0","7.0","0.5","194.9"
"D'Andre Swift","CHI","RB20","198.7","879.7","5.7","37.7","259.4","1.6","1.0","193.8"
